d{2012/04/28 16:33:19} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 16:33:22} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - end {1}901B655CEDEDC7B3345D7F89A52CC26E 
{2012/04/28 16:33:35} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 16:33:37} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - end {1}CA3592D183832CD114617FBD6EE83C3B 
{2012/04/28 16:33:44} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 16:33:46} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - end {1}ED6EBEFD8E8EB29004F68FBBC429D88A 
{2012/04/28 16:42:43} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 16:42:45} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - end {1}27FD10F5A5A56B37745A6F9810CF6507 
{2012/04/28 18:19:04} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=2,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 18:19:06} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=2,     SenderEmail=candidosg@gmail.com)) - error [HTTP 400] - BAD_REQUEST [11012] - senderName invalid value: Cândido Sales  gomes[11029] - Item amount invalid pattern: 5000. Must fit the patern: \d+.\d{2}  
{2012/04/28 18:20:36} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=2,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 18:20:38} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=2,     SenderEmail=candidosg@gmail.com)) - error [HTTP 400] - BAD_REQUEST [11029] - Item amount invalid pattern: 5000. Must fit the patern: \d+.\d{2} [11012] - senderName invalid value: Cândido Sales  gomes 
{2012/04/28 19:25:12} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=2,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 19:25:15} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=2,     SenderEmail=candidosg@gmail.com)) - error [HTTP 400] - BAD_REQUEST [11028] - Item amount is required. (e.g. "12.00")[11012] - senderName invalid value: Cândido Sales  gomes 
{2012/04/28 19:29:41} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - begin 
{2012/04/28 19:29:44} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - end {1}07120419B3B31E3EE4884FB796557CB2 
{2012/04/28 19:36:57} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=12,     SenderEmail=candidosg@gmail.com)) - begin 
